=== Shot zones ===
compute_shot_zone_breakdown: player 1630173 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 203500 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1628389 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630534 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630583 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1641725 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1642363 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642270 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641730 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629599 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642268 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628381 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628380 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 201144 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1626192 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631451 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630536 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641731 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642907 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642384 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1643018 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630595 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203552 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 201939 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642359 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630700 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642368 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 203076 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631120 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 201942 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642484 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628978 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631217 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642885 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641711 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1630621 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631172 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642265 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629029 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1629652 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 203083 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1627739 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1642348 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1631165 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 203954 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1642400 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1642855 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1630623 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1629234 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1641787 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642847 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642271 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1627827 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642843 failed: HTTPSConnectionPool(host='stats.nba.com', port=443): Read timed out. (read timeout=10)
compute_shot_zone_breakdown: player 1642280 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1631323 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1642402 failed: Expecting value: line 1 column 1 (char 0)
compute_shot_zone_breakdown: player 1628365 failed: Expecting value: line 1 column 1 (char 0)
